batch	hash	dex	dex_id	spike
batch_1	1	11	B15_NQF	TRUE
batch_1	1	12	B15_NAF	TRUE
batch_1	1	14	A02_YLQ	TRUE
batch_1	2	1	A02_LLY	FALSE
batch_1	2	2	A02_YLQ	TRUE
batch_1	2	3	A02_ALS	FALSE
batch_1	2	5	B15_NAF	TRUE
batch_1	2	6	B15_NQF	TRUE
batch_1	2	15	B15_RVA	FALSE
batch_1	3	2	A24_QYI	TRUE
batch_1	3	11	B15_NQF	TRUE
batch_1	3	12	B15_NAF	TRUE
batch_1	3	14	A02_YLQ	TRUE
batch_1	3	16	A24_NYN	TRUE
batch_1	4	11	B15_NQF	TRUE
batch_1	4	12	B15_NAF	TRUE
batch_1	4	14	A02_YLQ	TRUE
batch_1	5	1	A02_LLY	FALSE
batch_1	5	2	A02_YLQ	TRUE
batch_1	5	3	A02_ALS	FALSE
batch_1	5	5	B15_NAF	TRUE
batch_1	5	6	B15_NQF	TRUE
batch_1	5	15	B15_RVA	FALSE
batch_1	6	1	A02_LLY	FALSE
batch_1	6	2	A02_YLQ	TRUE
batch_1	6	3	A02_ALS	FALSE
batch_1	6	5	B15_NAF	TRUE
batch_1	6	6	B15_NQF	TRUE
batch_1	6	15	B15_RVA	FALSE
batch_1	7	11	B15_NQF	TRUE
batch_1	7	12	B15_NAF	TRUE
batch_1	8	1	A02_LLY	FALSE
batch_1	8	2	A02_YLQ	TRUE
batch_1	8	3	A02_ALS	FALSE
batch_1	8	5	B15_NAF	TRUE
batch_1	8	6	B15_NQF	TRUE
batch_1	8	15	B15_RVA	FALSE
batch_1	9	5	A01_FTS	FALSE
batch_1	9	7	A01_TTD	FALSE
batch_1	9	8	A01_LTD	TRUE
batch_1	9	9	A01_PTD	FALSE
batch_1	9	11	B15_NQF	TRUE
batch_1	9	12	B15_NAF	TRUE
batch_1	9	13	A01_NTN	FALSE
batch_1	9	15	B15_RVA	FALSE
batch_1	9	16	A01_DTD	FALSE
batch_1	10	5	A01_FTS	FALSE
batch_1	10	7	A01_TTD	FALSE
batch_1	10	8	A01_LTD	TRUE
batch_1	10	9	A01_PTD	FALSE
batch_1	10	11	B15_NQF	TRUE
batch_1	10	12	B15_NAF	TRUE
batch_1	10	13	A01_NTN	FALSE
batch_1	10	15	B15_RVA	FALSE
batch_1	10	16	A01_DTD	FALSE
batch_2	1	2	A24_QYI	TRUE
batch_2	1	8	A01_LTD	TRUE
batch_2	1	16	A24_NYN	TRUE
batch_2	2	8	A01_LTD	TRUE
batch_2	3	2	A24_QYI	TRUE
batch_2	3	16	A24_NYN	TRUE
batch_2	4	2	A24_QYI	TRUE
batch_2	4	11	B44_AEV	TRUE
batch_2	4	13	B44_AEA	TRUE
batch_2	4	14	A02_YLQ	TRUE
batch_2	4	16	A24_NYN	TRUE
